pubkey,nchannels,capacity,base,rate,alias
02121f8dbac9a3c30e3880ffd39895821bc23b5b582c03d75d1245d3b3d3c83bcd,1,100000,1,0.01,02121f8dbac9a3c30e38
021227d4be948ab84613d5dbd47b6e148cfb811432d27eb92e80d28382b1b27d27,5,10326398,1,0.01,lnd.cryptoassets.co.za
02122af337d3670ed250c53d6e215e36d4ff8d32c4175f774abe423c5b9c1d641b,1,60000,1,0.01,02122af337d3670ed250
021239ff75c7c3b74fd2907a8f56b323c726961d7e5a98e4490b30cfd13a6a9f21,1,60000,1,0.01,021239ff75c7c3b74fd2
0212864d59d5a902634c4a3186615446e9d56c17b14600f3b74fbabe3509aa707f,73,202169425,1,0.01,gewitter
0212a37c242e693e8d2ecdcfe748aa98b3aa2f59a9f2c4e73215e2cd37ba1f068b,15,9275249,1,0.01,RaspiFefo
0212a4a649fa3b57cfda9a679b7030c46538cda3e0e96874ec4044131184395e5d,3,16713219,1,0.1,dctrlvan
0212e2206117b6261aa8a2a0281479ab31301061960cc1fdd0863c423311ae2273,1,999806,1,0.1,SILENTCHIPMUNK
0212e500e63f4816dc11e402393c9b7192746b32028fe9258a199a252d3995392e,2,55381,1,0.01,crypt0e
0213028043ba544713750c363067b6b13fcd3a6eeb68d60ce84aec1827e5b284cf,11,18396615,1,0.01,cryptoversity
021308eab9e9f2b03a728f78e907051ddfecbe2592315bc9bc5b91e4b222182f33,10,472207,1,0.01,ln
0213351211aecfd9688a1b5205d0949857f9349e4128b9f7dd8adf3c699207e494,1,10000,1,0.1,
02133eb563293e0f660a72202361d8a733bfb49907776bb28d383b41d803f2c173,4,400000,1,0.01,swiftpay
02134436fb50cc0fb58703d57841bd6148dc01d74ad3dadb74eabb86c0d109cf8b,6,21902129,1,0.01,02134436fb50cc0fb587
021363f3e141d37f9d62dadba28e64b5ec089b6c3c4f2619e761a22b5ff02f3c79,5,1421667,1,0.01,AMR
021384cec84342b05b3f675188cbf98b76f1ea6a1e4625fea201b8355f0970806e,1,110258,1,0.01,
02138938aec8ebba19634e3ab6b8691dfe9f79fff65cf265cfae8eeedefce30458,4,17020000,1,0.01,Aton Technology
0213c8cb391e2342c7a47574c4d901f1432ac6d640a04db6baf84b9e3a1d3b585a,1,20000,1,0.01,0213c8cb391e2342c7a4
0213cac619573fc6021aca72ff023e2d8df65a6df5286c3d52947024cb1332dec7,35,22644279,0.1,0.01,VP-CZE 🇨🇿
0213efc3b1c9a768204a5a3c763d5ed6fc0cc2251196995991c2a5dcfe25520008,9,25974585,1,0.01,wookie.zet
0214041761821afc171b6907ee9ba36cb86307c3454305137b94a23fd81fcb4089,8,2555612,1,0.01,Fabians Lightning ☇
021416c68bb97f58996d0787280d36f6b97c820d46e277889a6c1303c330a59533,10,6809866,1,0.01,BobbyBoy
0214382bdce7750dfcb8126df8e2b12de38536902dc36abcebdaeefdeca1df8284,20,62366594,1,0.1,Billfodl 3
02143c535b28210a89e3ebefd3e992f708a8efe6ea228e36df84d6824817b354b8,2,17777215,1,0.01,10001110101
021463897ef6a3ecc1f62504f285ac23d2428b07a9cbb9dcb07cc619efae10d033,3,1101007,1,0.01,BTC031
0214924c2304fc7505afb3c5a515f4ac15a2404c9751e0cb186182fdc07e8486fe,1,40000,1,0.01,Rob_Kaandorp [LND]
0214b1f6b48998b9eb19d8a756af39a027202cecfe608450109465bbccf3bb74ed,9,19121247,0.5,0.01,Redwing Cherokee
0214b87e06039a44b5a23580f0e2f801b913fe9e3dc29169419f5eed15e449e9d3,2,1409994,0.7095136532495883,0.02163108495497144,readevalprint
0214e84f5eddd3b60ccb12c1a0729051c3a403be4bc6455d2488cc581dcd896212,5,135167,1,0.01,quicksilver
0214ec84c84827dd4911de56d2ecb77d367c6f24c658b8acfe4826b01968e45594,17,56710416,0.1,1.2643473114356982,t0mix
0214f6f9cafccd4fd1c297a9451fc60fc257e828967e8e6bcab243e212b2d4e67c,4,7219291,1,0.01,0214f6f9cafccd4fd1c2
0215045037aafb53a58322ce6923bd9346c1855dc4bb85b337f7444b9a1129bf12,12,724583,1,0.01,Stippy
02151b861f4825eaed7c0e582c46e6af624ae61819eec7ae31f348e3dfa9615d6b,2,920434,1,0.01,XVC
021569ba49396884ddd2d59027c0f9426e876b44075faec456d971cc97407046ef,51,43211628,1,0.01,PEHIR
02157422089f971f0daf19082712206e78134888006459818315ade43dd12d3950,3,4060000,1,0.01,NodeDownByTheRiver
02158328d594f8d3f1e9a64a7c201c699429dcfa41d3f1e17c39ff02eb4b81c373,1,10000000,1,0.01,ln.syncd.co
02158bb9f53bf691ea25d54b5fe4b5a212bd45b2c7fd3ea972f30477bc5aa5523c,1,60000,1,0.01,02158bb9f53bf691ea25
0215a82f989529981dfe2539fa0a8e370d7355c7ae58626165a26d7cc4a61e2191,10,12526749,0.001,0.01,lightning.miningspeed.com
0215bea618806194ad88b80de8bc11c6391edb2fa1beeea6174305856596faeee8,32,58782401,0.153776386235057,0.01,Emzy lnd node
0215f7e78b87507380b956c5145a5d4c805c0806faef158fdeb2255842cdedab4b,2,70569,1,0.01,
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,397,671476614,0.050070986144574794,0.56,ln.BitSoapBox.com
02163a2280a43c27afbaa3a38b5d59b85cc613904cacd1b15dc63af6803061e6ad,1,50000,1,1,eclair
02165ea5da4edc836444de441b646610273c7fc4e8339d8b068d374aa5f230ac08,3,140000,1,0.1,
02167f321fc885c47fe7dbdb90330d6866196e268b82ff7f4b561508b386efd21a,2,4883441,0.5,0.01,RecklessInTexas
0216a63a63e14ed9f6c9369f9951105dab791644b8496c5531877b3120be8c947b,17,47205379,0.47788066482847225,0.046959434432249765,minion
